
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       204
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:843            0.0.0.0:0              LISTENING       4912
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       2284
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       2284
  TCP    0.0.0.0:1607           0.0.0.0:0              LISTENING       6024
  TCP    0.0.0.0:4466           0.0.0.0:0              LISTENING       6308
  TCP    0.0.0.0:7000           0.0.0.0:0              LISTENING       4424
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       4912
  TCP    0.0.0.0:8908           0.0.0.0:0              LISTENING       6308
  TCP    0.0.0.0:11200          0.0.0.0:0              LISTENING       2032
  TCP    0.0.0.0:16422          0.0.0.0:0              LISTENING       2032
  TCP    0.0.0.0:16423          0.0.0.0:0              LISTENING       2540
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       728
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       608
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       1052
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING       788
  TCP    0.0.0.0:49164          0.0.0.0:0              LISTENING       840
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       8200
  TCP    127.0.0.1:6677         0.0.0.0:0              LISTENING       3108
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING       8404
  TCP    127.0.0.1:8088         0.0.0.0:0              LISTENING       3108
  TCP    127.0.0.1:9410         0.0.0.0:0              LISTENING       520
  TCP    127.0.0.1:9900         0.0.0.0:0              LISTENING       3108
  TCP    127.0.0.1:49209        127.0.0.1:49210        ESTABLISHED     3108
  TCP    127.0.0.1:49210        127.0.0.1:49209        ESTABLISHED     3108
  TCP    127.0.0.1:49222        127.0.0.1:49223        ESTABLISHED     4424
  TCP    127.0.0.1:49223        127.0.0.1:49222        ESTABLISHED     4424
  TCP    127.0.0.1:49224        127.0.0.1:49225        ESTABLISHED     4424
  TCP    127.0.0.1:49225        127.0.0.1:49224        ESTABLISHED     4424
  TCP    127.0.0.1:50308        127.0.0.1:50309        ESTABLISHED     3108
  TCP    127.0.0.1:50309        127.0.0.1:50308        ESTABLISHED     3108
  TCP    127.0.0.1:50513        127.0.0.1:50514        ESTABLISHED     3108
  TCP    127.0.0.1:50514        127.0.0.1:50513        ESTABLISHED     3108
  TCP    127.0.0.1:50894        127.0.0.1:50895        ESTABLISHED     3108
  TCP    127.0.0.1:50895        127.0.0.1:50894        ESTABLISHED     3108
  TCP    127.0.0.1:51328        127.0.0.1:51329        ESTABLISHED     6024
  TCP    127.0.0.1:51329        127.0.0.1:51328        ESTABLISHED     6024
  TCP    127.0.0.1:51330        127.0.0.1:51331        ESTABLISHED     6024
  TCP    127.0.0.1:51331        127.0.0.1:51330        ESTABLISHED     6024
  TCP    127.0.0.1:51347        0.0.0.0:0              LISTENING       8676
  TCP    127.0.0.1:54103        127.0.0.1:54104        ESTABLISHED     8404
  TCP    127.0.0.1:54104        127.0.0.1:54103        ESTABLISHED     8404
  TCP    127.0.0.1:54105        127.0.0.1:54106        ESTABLISHED     8404
  TCP    127.0.0.1:54106        127.0.0.1:54105        ESTABLISHED     8404
  TCP    127.0.0.1:54114        127.0.0.1:54115        ESTABLISHED     3108
  TCP    127.0.0.1:54115        127.0.0.1:54114        ESTABLISHED     3108
  TCP    127.0.0.1:54179        127.0.0.1:54180        ESTABLISHED     3108
  TCP    127.0.0.1:54180        127.0.0.1:54179        ESTABLISHED     3108
  TCP    127.0.0.1:56806        127.0.0.1:56805        TIME_WAIT       0
  TCP    127.0.0.1:56808        127.0.0.1:56807        TIME_WAIT       0
  TCP    127.0.0.1:56810        127.0.0.1:56809        TIME_WAIT       0
  TCP    127.0.0.1:56812        127.0.0.1:56811        TIME_WAIT       0
  TCP    127.0.0.1:56815        127.0.0.1:56814        TIME_WAIT       0
  TCP    127.0.0.1:56816        127.0.0.1:56813        TIME_WAIT       0
  TCP    127.0.0.1:56819        127.0.0.1:56817        TIME_WAIT       0
  TCP    127.0.0.1:56820        127.0.0.1:56818        TIME_WAIT       0
  TCP    127.0.0.1:56823        127.0.0.1:56822        TIME_WAIT       0
  TCP    127.0.0.1:56824        127.0.0.1:56821        TIME_WAIT       0
  TCP    127.0.0.1:56826        127.0.0.1:56825        TIME_WAIT       0
  TCP    127.0.0.1:56828        127.0.0.1:56827        TIME_WAIT       0
  TCP    127.0.0.1:56835        127.0.0.1:56834        TIME_WAIT       0
  TCP    127.0.0.1:56837        127.0.0.1:56836        TIME_WAIT       0
  TCP    127.0.0.1:56839        127.0.0.1:56838        TIME_WAIT       0
  TCP    127.0.0.1:56842        127.0.0.1:56840        TIME_WAIT       0
  TCP    127.0.0.1:56843        127.0.0.1:56841        TIME_WAIT       0
  TCP    127.0.0.1:56845        127.0.0.1:56847        TIME_WAIT       0
  TCP    127.0.0.1:56846        127.0.0.1:56844        TIME_WAIT       0
  TCP    127.0.0.1:56847        127.0.0.1:56845        TIME_WAIT       0
  TCP    127.0.0.1:56850        127.0.0.1:56852        TIME_WAIT       0
  TCP    127.0.0.1:56851        127.0.0.1:56848        TIME_WAIT       0
  TCP    127.0.0.1:56852        127.0.0.1:56850        TIME_WAIT       0
  TCP    127.0.0.1:56853        127.0.0.1:56849        TIME_WAIT       0
  TCP    127.0.0.1:56855        127.0.0.1:56854        TIME_WAIT       0
  TCP    127.0.0.1:56857        127.0.0.1:56856        TIME_WAIT       0
  TCP    127.0.0.1:56864        127.0.0.1:56863        TIME_WAIT       0
  TCP    127.0.0.1:56866        127.0.0.1:56865        TIME_WAIT       0
  TCP    127.0.0.1:56868        127.0.0.1:56867        TIME_WAIT       0
  TCP    127.0.0.1:56870        127.0.0.1:56871        TIME_WAIT       0
  TCP    127.0.0.1:56871        127.0.0.1:56870        TIME_WAIT       0
  TCP    127.0.0.1:56873        127.0.0.1:56872        TIME_WAIT       0
  TCP    127.0.0.1:56874        127.0.0.1:56869        TIME_WAIT       0
  TCP    127.0.0.1:56876        127.0.0.1:56875        TIME_WAIT       0
  TCP    127.0.0.1:56879        127.0.0.1:56878        TIME_WAIT       0
  TCP    127.0.0.1:56880        127.0.0.1:56877        TIME_WAIT       0
  TCP    127.0.0.1:56882        127.0.0.1:56881        TIME_WAIT       0
  TCP    127.0.0.1:56883        127.0.0.1:56884        TIME_WAIT       0
  TCP    127.0.0.1:56884        127.0.0.1:56883        TIME_WAIT       0
  TCP    127.0.0.1:56887        127.0.0.1:56885        TIME_WAIT       0
  TCP    127.0.0.1:56919        127.0.0.1:56918        TIME_WAIT       0
  TCP    127.0.0.1:56921        127.0.0.1:56920        TIME_WAIT       0
  TCP    127.0.0.1:56922        127.0.0.1:56926        TIME_WAIT       0
  TCP    127.0.0.1:56925        127.0.0.1:56923        TIME_WAIT       0
  TCP    127.0.0.1:56926        127.0.0.1:56922        TIME_WAIT       0
  TCP    127.0.0.1:56927        127.0.0.1:56924        TIME_WAIT       0
  TCP    127.0.0.1:56931        127.0.0.1:56928        TIME_WAIT       0
  TCP    127.0.0.1:56932        127.0.0.1:56929        TIME_WAIT       0
  TCP    127.0.0.1:56933        127.0.0.1:56930        TIME_WAIT       0
  TCP    127.0.0.1:56934        127.0.0.1:56936        TIME_WAIT       0
  TCP    127.0.0.1:56936        127.0.0.1:56934        TIME_WAIT       0
  TCP    127.0.0.1:56938        127.0.0.1:56935        TIME_WAIT       0
  TCP    127.0.0.1:56939        127.0.0.1:56937        TIME_WAIT       0
  TCP    127.0.0.1:56941        127.0.0.1:56940        TIME_WAIT       0
  TCP    127.0.0.1:56967        127.0.0.1:56965        TIME_WAIT       0
  TCP    127.0.0.1:56968        127.0.0.1:56966        TIME_WAIT       0
  TCP    127.0.0.1:56970        127.0.0.1:56969        TIME_WAIT       0
  TCP    127.0.0.1:56972        127.0.0.1:56971        TIME_WAIT       0
